profession :  carga; foncion; mestièr; ofici; trabalh
diligence :  coche
графология :  почерковедение
inégalement :  différemment; diversement
emporter :  arracher; enlever; entraîner; porter; pousser
kleding :  kledij; kleren
sujet :  enkeling; individu; kerel; knul; persoon; snuiter; vent
concept :  connaissance; idée; notion; spécimen; ontwerp; plan; project; architectuur; structuur; klad; ontwerp; blauwdruk
huppe :  coq merdeux; coq puant; bécasse d'arbre; bécasse perchante; putput; putpu; pupu; puput; crête; houppe; toupet
quebranto :  descaecimiento; desaliento; Lástima; conmiseración; piedad; pérdida; ruina; afflición; dolor
акула :  стервятник; хищник; рвач
sɔ́kí :  sɔ́kɔ́
gut :  schön; fein; O. K.; okay; wohl; entrails; innards; eviscerate
turne :  canfouine; cambuse; kot; taule
pertot :  arreu
Portugal :  Lusitanie
extra :  aanvullend; additioneel; bijzonder; supplementair
méticuleuse :  craintive
glauque :  lugubre; sinistre; sordide; triste
bestorming :  aanval; innemen; verovering
ontvanger :  geadresseerde; begunstigde; recipiënt; belastingontvanger
écru :  brut; grège; blanc cassé
cabeza :  tiesta
galet :  poulier; plage; roulement
discussion :  basca
Бразилия :  Федератив Бразилия Республикаһы; Бразилия Федератив Республиката; Федератив Бразилия Республика; [[Федеративная Республика Бразилия; [[Бразилия Федератив Республикасы
cône d’ablation :  cône érodable; pointe érodable
kuru :  kx’u
gemiddeld :  medium
aantrekkelijk :  lekker; aanlokkelijk; attractief; verleidelijk; voordelig
Ra :  Re; Rê; Re; Rah
still :  ruhig
péter :  avoir des gaz; lâcher une caisse; lâcher une perle; lâcher Médor; lâcher une ruine; loufer; vesser
en secret :  à porte close
nom :  substantif
non :  nan; niet; négatif; pas; no; zuster; pas
septantième :  soixante-dixième; soixante-dixième
emmener :  mener; conduire
chope :  natrium
drop :  drop-goal; dropje; drup; droppel; druppel
diablement :  diantrement; vachement
en ligne :  au bout du fil; connecté
concurrentie :  mededinging; rivaliteit; wedijver
gaffe :  argousin; ergastulaire; gardien de prison; garde-chiourme; geôlier; maton; error
十二月 :  師走
woning :  woonhuis; huis; verblijf; verblijfplaats
spermatozoïde :  spermatozoaire; spermato
titane :  titanium
duur :  kostbaar; prijzig; tijd
tablette :  étagère
abadernar :  anudar; atar; sujetar
profuse :  bounteous; abundant; copious; plentiful
que dalle :  que pouic; que tchi; que nenni
loko :  baranda
niaisement :  bêtement; stupidement
bananier :  banan
ouvreuse :  poupilier
conflit :  guerre; guerre civile; guerre froide; antagonisme
tout à fait :  entièrement; totalement; toutafé
daar :  aldaar; daar gunter; daarso; ginder; ginds; aangezien; omdat
informatique :  datalogie; ordinatique
hoek :  gea; gebiet; kontrei; lânsdouwe
sandow :  tendeur; exerciseur; extenseur
schreien :  brüllen; huilen; wenen
朋友 :  友達
exploit :  exploiteur
daman :  hyrax
ADN superenroulé :  ADN surenroulé
sous prétexte que :  sous le prétexte de; au prétexte de
眼 :  œil; œil
bedriegen :  bedonderen; beduvelen; belazeren; misleiden; oplichten
paisiblement :  pacifiquement; calmement
à la vue de :  en présence de; au spectacle de
slager :  beenhouwer; vleesverkoper; barbaar; beest; beul; bruut; nero; onmens
grève :  plage; arrêt; cessation; tric
empotement :  empotage
möglich :  machbar
à contrecœur :  à reculons; à son corps défendant
geheugen :  gedachtenis
taxi :  taxi-auto; huurmotor; cab; taxicab; libre; taxímetro; leigubíll; drosje; taksówka
innocemment :  bêtement; naïvement; niaisement; purement; sottement
великан :  гигант; исполин
tantale :  harpiprion
ami :  achate; amant; maîtresse; ami de cœur; chum; blonde; compagnon; concubin; conjoint; conjoint de fait; copain; mari; femme; petit ami
amo :  encarregat; patró; dueño; mam; ap
ama :  patrona; proprietaria; dueña; poseedora; señora; criada; aya; maestra
Luxembourg :  grand-duché de Luxembourg; Grand-Duché de Luxembourg; Luxembourg belge; Luco
pietà :  vierge de douleur; vierge de pitié
bien que :  combien que; encore que; encore qu’; quoique; quoiqu’; malgré qu’; malgré que; nonobstant que
héros :  pré-salé; schorre
фат :  франт; щёголь; хлыщ
presqu’ile :  péninsule
circassien :  tcherkesse
鼠 :  耗子
circuit intégré sur mesure :  circuit à la demande; circuit intégré à la demande
attendu :  prévu
stark :  kräftig; intensiv; großartig; ausgezeichnet; toll; cool
兔 :  兎; 兔子
cercueil :  bière; boîte; caisse; sapin; mazout; Caisse destinée à un défunt; Biére et coca
colle :  collina
radiateur :  dissipateur thermique; radiator
fermer :  clore
